Parkano,12.1,21.3
Pedersören kunta,6.9,11.4
Pelkosenniemi,12.7,24.3
Pello,15.7,27.8
Perho,9.1,15.3
Pertunmaa,15.6,24.2
Petäjävesi,9.5,11.9
Pieksämäki,12.8,21.8
Pielavesi,15.5,23.8
Pietarsaari,10.6,16.7
Pihtipudas,12.9,19.4
Pirkkala,5.3,11.2
Polvijärvi,11.2,19.7
Pomarkku,13.3,18.9
Pori,10.2,15.9
Pornainen,4.7,9.7
Porvoo,7.2,13.7
Posio,13.2,25.8
Pudasjärvi,12.4,20.5
Pukkila,8.8,14.6
Punkalaidun,16.2,19.4
Puolanka,13.6,23.9
Puumala,15.9,30.6
Pyhtää,9.5,14.9
Pyhäjoki,10.5,17.3
Pyhäjärvi,13.5,22.1
Pyhäntä,8.2,19.0
Pyhäranta,10.0,17.7
Pälkäne,11.9,18.3
Pöytyä,10.6,15.4
Raahe,7.5,16.4
Raasepori,10.5,15.9
Raisio,8.7,14.3
Rantasalmi,14.8,23.4
Ranua,10.5,19.0
Rauma,10.1,16.8
Rautalampi,14.8,22.1
Rautavaara,16.8,25.2
Rautjärvi,15.8,25.1
Reisjärvi,10.6,16.1
Riihimäki,8.0,13.2
Ristijärvi,18.4,23.2
Rovaniemi,7.5,12.3
Ruokolahti,14.5,22.4
Ruovesi,15.7,22.4
Rusko,6.3,13.7
Rääkkylä,14.1,23.3
Saarijärvi,12.9,20.7
Salla,17.3,25.8
Salo,10.0,16.4
Saltvik,9.5,15.6
Sastamala,11.8,17.5
Sauvo,9.1,15.9
Savitaipale,17.6,27.3
Savonlinna,12.0,20.2
Savukoski,12.0,22.2
Seinäjoki,7.4,12.3
Sievi,7.8,12.1
Siikainen,16.1,24.8
Siikajoki,8.5,13.6
Siikalatva,13.4,18.9
Siilinjärvi,6.5,13.9
Simo,10.5,20.5
Sipoo,6.4,10.4
Siuntio,5.0,10.9
Sodankylä,10.3,19.8
Soini,14.1,19.0
Somero,13.8,21.4
Sonkajärvi,13.4,21.0
Sotkamo,10.4,16.5
Sottunga,19.0,19.1
Sulkava,16.6,26.2
Sund,9.1,14.8
Suomussalmi,13.7,23.7
Suonenjoki,13.1,20.6
Sysmä,17.5,26.1
Säkylä,11.9,19.6
Taipalsaari,8.4,17.8
Taivalkoski,10.0,18.1
Taivassalo,14.7,22.9
Tammela,10.7,15.2
Tampere,7.9,12.2
Tarvasjoki,9.3,14.2
Tervo,15.8,24.6
Tervola,14.1,20.1
Teuva,14.4,21.2
Tohmajärvi,12.0,21.5
Toholampi,10.6,16.2
Toivakka,10.2,15.5
Tornio,7.8,14.5
Turku,8.9,13.5
Tuusniemi,13.4,22.9
Tuusula,4.9,10.6
Tyrnävä,5.1,7.8
Ulvila,9.3,15.9
Urjala,13.6,19.6
Utajärvi,12.1,18.9
Utsjoki,10.4,21.0
Uurainen,7.1,9.8
Uusikaarlepyy,11.0,14.5
Uusikaupunki,10.3,21.8
Vaala,14.2,21.3
Vaasa,8.4,12.2
Valkeakoski,10.0,15.1
Valtimo,14.2,23.9
Vantaa,5.0,10.1
Varkaus,11.5,20.0
Vehmaa,11.8,19.5
Vesanto,17.6,24.3
Vesilahti,7.6,10.5
Veteli,12.5,18.4
Vieremä,11.4,16.2
Vihti,5.5,11.4
Viitasaari,14.5,23.9
Vimpeli,12.0,17.6
Virolahti,12.2,18.1
Virrat,14.8,23.6
Vårdö,14.1,22.8
Vöyri,12.2,15.3
Ylitornio,16.2,25.3
Ylivieska,7.4,12.5
Ylöjärvi,6.2,11.1
Ypäjä,11.2,16.5
Ähtäri,12.2,20.7
Äänekoski,9.8,16.4
